balance_ratio,sim_calculation_type,batch_size,n_iter,sim_type,improvement_ratio
-1,-1,-1,-1,-1,-1.9467445043168927
-1,-1,-1,-1,-1,-1.5513365254976492
-1,-1,-1,-1,-1,-2.029896231636919
-1,-1,-1,-1,-1,-3.2432683111532166
-1,-1,-1,-1,-1,-1.8930971053314112
-1,-1,-1,-1,-1,-1.7445689911242788
-1,-1,-1,-1,-1,-1.9445284073294358
-1,-1,-1,-1,-1,-1.7795653011521095
-1,-1,-1,-1,-1,-3.1062840312473137
-1,-1,-1,-1,-1,-1.9715999823781776
-1,-1,-1,-1,-1,-1.9818247918712797
-1,-1,-1,-1,-1,-1.6059175877696164
-1,-1,-1,-1,-1,-2.1569593007458137
-1,-1,-1,-1,-1,-2.042659160670733
-1,-1,-1,-1,-1,-2.0495442732109446
-1,-1,-1,-1,-1,-1.8407397791686737
-1,-1,-1,-1,-1,-1.9048541958043235
-1,-1,-1,-1,-1,-1.9695607938150765
-1,-1,-1,-1,-1,-1.9707100671231548
-1,-1,-1,-1,-1,-1.8948561891864495
-1,-1,-1,-1,-1,-1.942914430641852
-1,-1,-1,-1,-1,-1.7236454288309888
-1,-1,-1,-1,-1,-2.05861113979391
-1,-1,-1,-1,-1,-7.6867189001915515
-1,-1,-1,-1,-1,-2.2273981074128515
-1,-1,-1,-1,-1,-1.9658128679197284
-1,-1,-1,-1,-1,-1.799720921625355
-1,-1,-1,-1,-1,-2.442038920468796
-1,-1,-1,-1,-1,-3.1122303375006246
-1,-1,-1,-1,-1,-1.7356652410614604
-1,-1,-1,-1,-1,-1.6733476169135744
-1,-1,-1,-1,-1,-1.9396391600357095
-1,-1,-1,-1,-1,-1.67250583341835
-1,-1,-1,-1,-1,-2.0094264951221485
-1,-1,-1,-1,-1,-1.947250104258616
-1,-1,-1,-1,-1,-1.7211060246405039
-1,-1,-1,-1,-1,-1.6800194153118206
-1,-1,-1,-1,-1,-1.996294869857262
-1,-1,-1,-1,-1,-2.8815296912848725
-1,-1,-1,-1,-1,-2.141525670490818
-1,-1,-1,-1,-1,-1.7618312902332318
-1,-1,-1,-1,-1,-1.6226215769858094
-1,-1,-1,-1,-1,-1.9852397752687665
-1,-1,-1,-1,-1,-2.533590042799665
-1,-1,-1,-1,-1,-1.8725554764847883
-1,-1,-1,-1,-1,-2.2086984558243548
-1,-1,-1,-1,-1,-1.5753160056477817
-1,-1,-1,-1,-1,-1.9075544782974703
-1,-1,-1,-1,-1,-2.5226193735047184
-1,-1,-1,-1,-1,-1.9018809113801918
-1,-1,-1,-1,1,-1.630761824933485
-1,-1,-1,-1,1,-1.7366742354354623
-1,-1,-1,-1,1,-1.567238357968306
-1,-1,-1,-1,1,-1.8879801027846377
-1,-1,-1,-1,1,-1.993006757424272
-1,-1,-1,-1,1,-1.7689653075827958
-1,-1,-1,-1,1,-1.5848462156711922
